"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"05 - 06","Mixed","Unknown","06","05","NASHUA-PLAINFIELD COMM SCHOOL DISTRICT","NASHUA-PLAINFIELD INTERMEDIATE SCHOOL","public","2017","1","0","1","IA","95",
"07 - 12","Mixed","Yes","12","07","NASHUA-PLAINFIELD COMM SCHOOL DISTRICT","NASHUA-PLAINFIELD JUNIOR-SENIORHIGH SCHOOL","public","2017","0","1","1","IA","272","HY"
"","Mixed","Unknown","","","NASHUA-PLAINFIELD COMM SCHOOL DISTRICT","NASHUA-PLAINFIELD MIDDLE SCHOOL","public","2017","","","","IA","",
"PK - 04","Elementary","Yes","04","PK","NEVADA COMM SCHOOL DISTRICT","CENTRAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","732","Yes"
"09 - 12","High","No","12","09","NEVADA COMM SCHOOL DISTRICT","NEVADA HIGH SCHOOL","public","2017","0","1","0","IA","448","HN"
"05 - 08","Mixed","Unknown","08","05","NEVADA COMM SCHOOL DISTRICT","NEVADA MIDDLE SCHOOL","public","2017","1","0","1","IA","460",
"09 - 12","High","No","12","09","NEW HAMPTON COMM SCHOOL DISTRICT","EDUCATION OPTIONS","public","2017","0","1","0","IA","9","HN"
"PK - 04","Elementary","No","04","PK","NEW HAMPTON COMM SCHOOL DISTRICT","NEW HAMPTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","464","No"
"09 - 12","High","Yes","12","09","NEW HAMPTON COMM SCHOOL DISTRICT","NEW HAMPTON HIGH SCHOOL","public","2017","0","1","0","IA","333","Yes"
"05 - 08","Mixed","Yes","08","05","NEW HAMPTON COMM SCHOOL DISTRICT","NEW HAMPTON MIDDLE SCHOOL","public","2017","1","0","1","IA","271","Yes"
"PK - 05","Elementary","Inconsistent","05","PK","NEW LONDON COMM SCHOOL DISTRICT","CLARK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","254","Inconsistent"
